suite,suite_label,task_id,a2_success,a2_failure,a2_rate_percent,a5_success,a5_failure,a5_rate_percent,delta_pp
libero_spatial,LIBERO Spatial,0,6,4,60,9,1,90,30
libero_spatial,LIBERO Spatial,1,8,2,80,9,1,90,10
libero_spatial,LIBERO Spatial,2,7,3,70,9,1,90,20
libero_spatial,LIBERO Spatial,3,5,5,50,10,0,100,50
libero_spatial,LIBERO Spatial,4,8,2,80,8,2,80,0
libero_spatial,LIBERO Spatial,5,3,7,30,5,5,50,20
libero_spatial,LIBERO Spatial,6,8,2,80,9,1,90,10
libero_spatial,LIBERO Spatial,7,9,1,90,9,1,90,0
libero_spatial,LIBERO Spatial,8,7,3,70,6,4,60,-10
libero_spatial,LIBERO Spatial,9,5,5,50,8,2,80,30
libero_object,LIBERO Object,0,9,1,90,8,2,80,-10
libero_object,LIBERO Object,1,8,2,80,7,3,70,-10
libero_object,LIBERO Object,2,8,2,80,8,2,80,0
libero_object,LIBERO Object,3,10,0,100,10,0,100,0
libero_object,LIBERO Object,4,10,0,100,9,1,90,-10
libero_object,LIBERO Object,5,7,3,70,5,5,50,-20
libero_object,LIBERO Object,6,10,0,100,9,1,90,-10
libero_object,LIBERO Object,7,8,2,80,10,0,100,20
libero_object,LIBERO Object,8,10,0,100,4,6,40,-60
libero_object,LIBERO Object,9,9,1,90,8,2,80,-10
libero_goal,LIBERO Goal,0,7,3,70,4,6,40,-30
libero_goal,LIBERO Goal,1,8,2,80,10,0,100,20
libero_goal,LIBERO Goal,2,9,1,90,10,0,100,10
libero_goal,LIBERO Goal,3,3,7,30,8,2,80,50
libero_goal,LIBERO Goal,4,8,2,80,10,0,100,20
libero_goal,LIBERO Goal,5,9,1,90,10,0,100,10
libero_goal,LIBERO Goal,6,4,6,40,3,7,30,-10
libero_goal,LIBERO Goal,7,10,0,100,8,2,80,-20
libero_goal,LIBERO Goal,8,9,1,90,10,0,100,10
libero_goal,LIBERO Goal,9,5,5,50,7,3,70,20
libero_10,LIBERO Long,0,0,10,0,0,10,0,0
libero_10,LIBERO Long,1,3,7,30,5,5,50,20
libero_10,LIBERO Long,2,4,6,40,6,4,60,20
libero_10,LIBERO Long,3,9,1,90,5,5,50,-40
libero_10,LIBERO Long,4,2,8,20,1,9,10,-10
libero_10,LIBERO Long,5,5,5,50,10,0,100,50
libero_10,LIBERO Long,6,9,1,90,6,4,60,-30
libero_10,LIBERO Long,7,1,9,10,3,7,30,20
libero_10,LIBERO Long,8,1,9,10,3,7,30,20
libero_10,LIBERO Long,9,6,4,60,7,3,70,10
