step,loss,grad_norm,learning_rate,throughput_samples_per_s,memory_gb
200.0,1.785,5.749,1e-05,106.0,14.06
400.0,0.905,2.081,3e-05,118.0,14.06
600.0,0.719,2.243,5e-05,118.0,14.06
800.0,0.632,2.174,7e-05,116.0,14.06
1000.0,0.53,1.759,0.0001,117.0,14.06
2000.0,0.473,1.431,9.9e-05,116.0,14.06
3000.0,0.453,1.331,9.7e-05,116.0,14.06
4000.0,0.426,1.293,9.5e-05,117.0,14.05
5000.0,0.416,1.202,9.3e-05,116.0,14.05
6000.0,0.402,1.157,9e-05,113.0,14.05
7000.0,0.393,1.188,8.6e-05,115.0,14.05
8000.0,0.375,1.114,8.3e-05,116.0,14.05
9000.0,0.364,1.106,7.9e-05,116.0,14.05
10000.0,0.35,1.094,7.4e-05,117.0,14.05
11000.0,0.337,1.092,7e-05,116.0,14.05
12000.0,0.322,1.086,6.5e-05,116.0,14.05
13000.0,0.305,1.079,6e-05,116.0,14.05
14000.0,0.294,1.073,5.5e-05,117.0,14.05
15000.0,0.285,1.103,5e-05,116.0,14.05
16000.0,0.274,1.094,4.5e-05,116.0,14.05
17000.0,0.262,1.076,4e-05,115.0,14.05
18000.0,0.257,1.105,3.5e-05,115.0,14.05
19000.0,0.251,1.082,3e-05,116.0,14.05
20000.0,0.247,1.089,2.6e-05,115.0,14.05
21000.0,0.242,1.095,2.1e-05,117.0,14.04
22000.0,0.241,1.081,1.8e-05,114.0,14.05
23000.0,0.236,1.082,1.4e-05,116.0,14.05
24000.0,0.235,1.08,1.1e-05,115.0,14.05
25000.0,0.237,1.078,8.3e-06,115.0,14.05
26000.0,0.236,1.072,6.1e-06,116.0,14.05
27000.0,0.233,1.075,4.4e-06,114.0,14.05
28000.0,0.234,1.071,3.3e-06,115.0,14.05
29000.0,0.234,1.071,2.6e-06,115.0,14.05
30000.0,0.232,1.065,2.5e-06,116.0,14.05
31000.0,0.234,1.085,2.5e-06,115.0,14.05
32000.0,0.233,1.071,2.5e-06,116.0,14.05
33000.0,0.232,1.054,2.5e-06,117.0,14.05
34000.0,0.234,1.075,2.5e-06,116.0,14.05
35000.0,0.233,1.069,2.5e-06,117.0,14.05
36000.0,0.231,1.073,2.5e-06,115.0,14.05
37000.0,0.233,1.061,2.5e-06,115.0,14.05
38000.0,0.233,1.067,2.5e-06,115.0,14.05
39000.0,0.232,1.062,2.5e-06,111.0,14.05
40000.0,0.233,1.086,2.5e-06,116.0,14.05
41000.0,0.232,1.081,2.5e-06,115.0,14.05
42000.0,0.234,1.076,2.5e-06,115.0,14.05
43000.0,0.231,1.071,2.5e-06,115.0,14.05
44000.0,0.23,1.058,2.5e-06,115.0,14.05
45000.0,0.233,1.075,2.5e-06,115.0,14.05
46000.0,0.232,1.089,2.5e-06,115.0,14.05
47000.0,0.231,1.068,2.5e-06,116.0,14.05
48000.0,0.231,1.069,2.5e-06,117.0,14.05
49000.0,0.232,1.078,2.5e-06,113.0,14.05
50000.0,0.23,1.072,2.5e-06,115.0,14.05
51000.0,0.23,1.059,2.5e-06,115.0,14.04
52000.0,0.233,1.079,2.5e-06,116.0,14.05
53000.0,0.23,1.077,2.5e-06,115.0,14.05
54000.0,0.232,1.075,2.5e-06,115.0,14.05
55000.0,0.232,1.074,2.5e-06,115.0,14.05
56000.0,0.232,1.082,2.5e-06,116.0,14.05
57000.0,0.23,1.081,2.5e-06,115.0,14.05
58000.0,0.231,1.087,2.5e-06,116.0,14.05
59000.0,0.233,1.077,2.5e-06,115.0,14.05
60000.0,0.23,1.078,2.5e-06,114.0,14.05
61000.0,0.234,1.077,2.5e-06,114.0,14.05
62000.0,0.232,1.07,2.5e-06,115.0,14.05
63000.0,0.23,1.08,2.5e-06,115.0,14.05
64000.0,0.232,1.088,2.5e-06,116.0,14.05
65000.0,0.231,1.075,2.5e-06,116.0,14.05
66000.0,0.23,1.078,2.5e-06,115.0,14.05
67000.0,0.232,1.093,2.5e-06,113.0,14.05
68000.0,0.232,1.091,2.5e-06,116.0,14.04
69000.0,0.23,1.082,2.5e-06,116.0,14.05
70000.0,0.23,1.076,2.5e-06,113.0,14.05
71000.0,0.23,1.083,2.5e-06,114.0,14.05
72000.0,0.23,1.094,2.5e-06,114.0,14.05
73000.0,0.23,1.081,2.5e-06,112.0,14.05
74000.0,0.229,1.081,2.5e-06,116.0,14.05
75000.0,0.232,1.092,2.5e-06,116.0,14.05
76000.0,0.228,1.078,2.5e-06,115.0,14.05
77000.0,0.232,1.08,2.5e-06,114.0,14.05
78000.0,0.231,1.085,2.5e-06,114.0,14.05
79000.0,0.232,1.086,2.5e-06,116.0,14.05
80000.0,0.232,1.081,2.5e-06,117.0,14.05
81000.0,0.232,1.092,2.5e-06,116.0,14.05
82000.0,0.229,1.078,2.5e-06,116.0,14.05
83000.0,0.229,1.064,2.5e-06,116.0,14.05
84000.0,0.231,1.086,2.5e-06,115.0,14.05
85000.0,0.233,1.095,2.5e-06,115.0,14.05
86000.0,0.231,1.075,2.5e-06,117.0,14.05
87000.0,0.232,1.08,2.5e-06,113.0,14.05
88000.0,0.229,1.08,2.5e-06,114.0,14.05
89000.0,0.23,1.087,2.5e-06,115.0,14.05
90000.0,0.23,1.087,2.5e-06,115.0,14.05
91000.0,0.23,1.079,2.5e-06,115.0,14.05
92000.0,0.23,1.092,2.5e-06,112.0,14.05
93000.0,0.23,1.087,2.5e-06,114.0,14.05
94000.0,0.23,1.088,2.5e-06,114.0,14.05
95000.0,0.23,1.075,2.5e-06,113.0,14.05
96000.0,0.23,1.1,2.5e-06,114.0,14.05
97000.0,0.23,1.081,2.5e-06,116.0,14.05
98000.0,0.231,1.078,2.5e-06,115.0,14.04
99000.0,0.229,1.086,2.5e-06,115.0,14.05
100000.0,0.228,1.08,2.5e-06,115.0,14.05
